distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,11,2024,911,912,1330.0,16728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
532,Adilabad,532001,Talamadugu,1901002,11,2024,532,532,700.0,10020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532001,Talamadugu,1901003,11,2024,264,264,560.0,4856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
532,Adilabad,532001,Talamadugu,1901004,11,2024,356,359,490.0,6930.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14
532,Adilabad,532001,Talamadugu,1901005,11,2024,909,909,5215.0,16026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
532,Adilabad,532001,Talamadugu,1901006,11,2024,486,489,1330.0,8451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
532,Adilabad,532001,Talamadugu,1901007,11,2024,494,508,350.0,8904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
532,Adilabad,532001,Talamadugu,1901008,11,2024,354,355,2240.0,5784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
532,Adilabad,532001,Talamadugu,1901009,11,2024,310,310,805.0,6474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
532,Adilabad,532001,Talamadugu,1901010,11,2024,893,901,4025.0,16386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
532,Adilabad,532001,Talamadugu,1901011,11,2024,506,506,280.0,9259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
532,Adilabad,532001,Talamadugu,1901012,11,2024,816,819,910.0,15630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
532,Adilabad,532001,Talamadugu,1901013,11,2024,427,428,875.0,7854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
532,Adilabad,532001,Talamadugu,1901014,11,2024,169,169,280.0,3090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
532,Adilabad,532001,Talamadugu,1901015,11,2024,337,337,2065.0,5142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
532,Adilabad,532001,Talamadugu,1901016,11,2024,766,767,1855.0,15174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
532,Adilabad,532002,Tamsi,1902001,11,2024,707,707,1890.0,12342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
532,Adilabad,532002,Tamsi,1902002,11,2024,443,444,1365.0,8748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
532,Adilabad,532002,Tamsi,1902003,11,2024,317,318,770.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
532,Adilabad,532002,Tamsi,1902004,11,2024,234,235,420.0,3948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532002,Tamsi,1902005,11,2024,600,600,1435.0,10762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
532,Adilabad,532002,Tamsi,1902006,11,2024,458,458,945.0,8514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
532,Adilabad,532002,Tamsi,1902007,11,2024,415,415,980.0,7239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
532,Adilabad,532002,Tamsi,1902009,11,2024,619,619,1120.0,10928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
532,Adilabad,532002,Tamsi,1902010,11,2024,320,320,910.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532002,Tamsi,1902011,11,2024,331,332,980.0,5478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
532,Adilabad,532004,Jainad,1904001,11,2024,660,696,1190.0,11058.0,0.0,0.0,33.0,0.0,0.0,445.5,0.0,80
532,Adilabad,532004,Jainad,1904002,11,2024,687,689,1645.0,11106.0,0.0,0.0,47.0,0.0,0.0,634.5,0.0,116
532,Adilabad,532004,Jainad,1904003,11,2024,430,432,735.0,8466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532004,Jainad,1904004,11,2024,496,498,1050.0,8484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
532,Adilabad,532004,Jainad,1904005,11,2024,648,650,1435.0,10818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532004,Jainad,1904006,11,2024,423,425,1190.0,6756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
532,Adilabad,532004,Jainad,1904007,11,2024,422,422,1225.0,7028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
532,Adilabad,532004,Jainad,1904008,11,2024,200,201,455.0,3234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
532,Adilabad,532004,Jainad,1904009,11,2024,326,327,665.0,5688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532004,Jainad,1904010,11,2024,317,317,735.0,5064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532004,Jainad,1904011,11,2024,108,109,595.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
532,Adilabad,532004,Jainad,1904012,11,2024,320,320,945.0,5772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
532,Adilabad,532004,Jainad,1904013,11,2024,342,342,525.0,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
532,Adilabad,532004,Jainad,1904014,11,2024,265,265,700.0,4488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
532,Adilabad,532004,Jainad,1904015,11,2024,111,111,210.0,1788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
532,Adilabad,532004,Jainad,1904016,11,2024,583,584,1715.0,10206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
532,Adilabad,532004,Jainad,1904017,11,2024,198,198,280.0,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532004,Jainad,1904018,11,2024,265,266,455.0,4872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
532,Adilabad,532004,Jainad,1904019,11,2024,559,559,1785.0,9705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
532,Adilabad,532004,Jainad,1904020,11,2024,334,335,910.0,5658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
532,Adilabad,532004,Jainad,1904021,11,2024,402,402,1400.0,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
532,Adilabad,532004,Jainad,1904022,11,2024,253,253,245.0,4482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532004,Jainad,1904023,11,2024,109,109,280.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
532,Adilabad,532004,Jainad,1904024,11,2024,275,275,70.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
532,Adilabad,532004,Jainad,1904025,11,2024,609,613,280.0,11370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
532,Adilabad,532004,Jainad,1904026,11,2024,196,196,350.0,3474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532004,Jainad,1904027,11,2024,596,598,35.0,11106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532004,Jainad,1904028,11,2024,176,177,245.0,2916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532004,Jainad,1904029,11,2024,284,286,595.0,4722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
532,Adilabad,532004,Jainad,1904030,11,2024,167,169,450.0,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532004,Jainad,1904031,11,2024,344,344,1015.0,5698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
532,Adilabad,532004,Jainad,1904032,11,2024,432,432,735.0,7788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
532,Adilabad,532004,Jainad,1904033,11,2024,181,182,175.0,3234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
532,Adilabad,532004,Jainad,1904034,11,2024,236,237,292.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
532,Adilabad,532004,Jainad,1904035,11,2024,227,227,1085.0,3972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532004,Jainad,1904036,11,2024,154,154,630.0,2442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
532,Adilabad,532004,Jainad,1904037,11,2024,535,554,525.0,9466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
532,Adilabad,532004,Jainad,1904038,11,2024,408,408,3745.0,6444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532005,Bela,1905001,11,2024,619,619,1435.0,11610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283
532,Adilabad,532005,Bela,1905002,11,2024,370,372,315.0,7290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532005,Bela,1905003,11,2024,489,490,1365.0,8532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532005,Bela,1905004,11,2024,296,296,525.0,5322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532005,Bela,1905005,11,2024,352,352,1015.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532005,Bela,1905006,11,2024,398,398,490.0,7086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532005,Bela,1905007,11,2024,471,471,1260.0,8352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
532,Adilabad,532005,Bela,1905008,11,2024,168,168,560.0,2922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
532,Adilabad,532005,Bela,1905009,11,2024,370,370,980.0,6168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
532,Adilabad,532005,Bela,1905010,11,2024,460,462,1225.0,8688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532005,Bela,1905011,11,2024,313,313,735.0,5574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
532,Adilabad,532005,Bela,1905012,11,2024,610,610,2100.0,9936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532005,Bela,1905013,11,2024,197,197,35.0,3570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
532,Adilabad,532005,Bela,1905014,11,2024,553,554,1325.0,9780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
532,Adilabad,532005,Bela,1905015,11,2024,394,394,420.0,7146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
532,Adilabad,532005,Bela,1905016,11,2024,160,164,1080.0,2514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
532,Adilabad,532005,Bela,1905017,11,2024,287,287,525.0,5334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532005,Bela,1905018,11,2024,289,290,1435.0,4764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
532,Adilabad,532005,Bela,1905019,11,2024,359,359,1120.0,6498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
532,Adilabad,532005,Bela,1905020,11,2024,298,298,385.0,5682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
532,Adilabad,532005,Bela,1905021,11,2024,524,525,1295.0,9402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
532,Adilabad,532005,Bela,1905022,11,2024,358,358,1050.0,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532005,Bela,1905023,11,2024,333,333,2555.0,5274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532005,Bela,1905024,11,2024,1011,1011,3694.0,21312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
532,Adilabad,532005,Bela,1905025,11,2024,308,308,700.0,6636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532005,Bela,1905026,11,2024,565,565,1225.0,10668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272
532,Adilabad,532006,Narnoor,1906001,11,2024,851,851,3675.0,16077.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,82
532,Adilabad,532006,Narnoor,1906002,11,2024,400,400,2100.0,7375.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,54
532,Adilabad,532006,Narnoor,1906003,11,2024,434,434,1290.0,9246.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532006,Narnoor,1906004,11,2024,283,283,2100.0,5196.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532006,Narnoor,1906005,11,2024,491,491,2240.0,9876.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,74
532,Adilabad,532006,Narnoor,1906006,11,2024,670,670,3675.0,12161.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532006,Narnoor,1906007,11,2024,838,838,1610.0,17167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
532,Adilabad,532006,Narnoor,1906008,11,2024,304,304,1015.0,6522.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,166
532,Adilabad,532006,Narnoor,1906009,11,2024,510,512,2625.0,9642.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40
